outcome_name,model_name,target_fraction,selected_population_fraction,selected_rows,treatment_rows,control_rows,treatment_rate,control_rate,cumulative_uplift,cumulative_gain,uplift_ci_lower,uplift_ci_upper,random_gain,gain_above_random,endpoint_gain,gain_above_response,incremental_gain_ci_lower,incremental_gain_ci_upper,gain_above_response_ci_lower,gain_above_response_ci_upper,analysis_status
visit,x_learner,0.1,0.1000000357685901,279575.0,242348.0,37227.0,0.28973624704969714,0.2267708920944476,0.06296535495524955,17603.539111613893,0.05834410779849168,0.06758660211200741,2889.3317518041167,14714.207359809776,28893.317518041164,3489.8328263671137,16305.499878838102,18990.338915909462,2493.286534111327,4386.923480062371,exploratory_completion_requested_after_initial_test_review
visit,x_learner,0.2,0.2000000715371802,559150.0,479609.0,79541.0,0.19923938041196057,0.1596032234948014,0.03963615691715916,22162.557140229543,0.03685124678270896,0.04242106705160936,5778.663503608233,16383.89363662131,28893.317518041164,520.1870787437911,20434.341478796323,23787.98444480653,-283.45886969272783,1180.7582142219298,exploratory_completion_requested_after_initial_test_review
visit,x_learner,0.3,0.3000001073057703,838725.0,716697.0,122028.0,0.14379437893558925,0.11400662143114695,0.02978775750444229,24983.736912913362,0.0278282460990696,0.03174726890981498,8667.995255412348,16315.741657501014,28893.317518041164,739.069653549017,23488.880856227486,27023.013482442646,97.19126650930976,1300.8845769777677,exploratory_completion_requested_after_initial_test_review
visit,x_learner,0.4,0.4000001430743604,1118300.0,953478.0,164822.0,0.11161348242958935,0.0879554913785781,0.023657991051011254,26456.731392345886,0.022151625564723762,0.025164356537298746,11557.327007216467,14899.40438512942,28893.317518041164,286.1955893975246,,,,,exploratory_completion_requested_after_initial_test_review
visit,x_learner,0.5,0.5000001788429504,1397875.0,1190194.0,207681.0,0.09047012503843911,0.07073348067468858,0.019736644363750527,27589.36173997777,0.018519520516477844,0.02095376821102321,14446.658759020582,13142.702980957187,28893.317518041164,-38.29287820182799,,,,,exploratory_completion_requested_after_initial_test_review
visit,x_learner,0.75,0.7500000894214752,2096812.0,1783276.0,313536.0,0.06120028531758404,0.0474267707695448,0.01377351454803924,28880.470586503256,0.012950542242373181,0.014596486853705298,21669.988138530873,7210.482447972383,28893.317518041164,153.807754293146,,,,,exploratory_completion_requested_after_initial_test_review
visit,x_learner,1.0,1.0,2795749.0,2376531.0,419218.0,0.048632229076750945,0.03829749676779146,0.010334732308959482,28893.317518041164,0.009692640491515359,0.010976824126403606,28893.317518041164,0.0,28893.317518041164,0.0,,,,,exploratory_completion_requested_after_initial_test_review
visit,response_propensity,0.05,0.050000196727245545,139788.0,120876.0,18912.0,0.5235696085244382,0.4668464467005076,0.05672316182393061,7929.217345043612,0.049075624491867545,0.06437069915599368,1444.6658759020584,6484.551469141554,28893.317518041164,0.0,,,,,exploratory_completion_requested_after_initial_test_review
visit,response_propensity,0.1,0.1000000357685901,279575.0,240713.0,38862.0,0.37393493496404434,0.323452215531882,0.050482719432162315,14113.706285246779,0.04544613358209472,0.05551930528222991,2889.3317518041167,11224.374533442662,28893.317518041164,0.0,12584.527897149463,15750.670702785685,0.0,0.0,exploratory_completion_requested_after_initial_test_review
visit,response_propensity,0.2,0.2000000715371802,559150.0,478795.0,80355.0,0.22316231372508066,0.18445647439487275,0.03870583933020791,21642.37006148575,0.03577625131528956,0.04163542734512626,5778.663503608233,15863.706557877518,28893.317518041164,0.0,20059.999493255706,23338.959386056515,0.0,0.0,exploratory_completion_requested_after_initial_test_review
visit,response_propensity,0.3,0.3000001073057703,838725.0,716282.0,122443.0,0.15555325974965167,0.12664668457976364,0.028906575169888038,24244.667259364345,0.02686339043921575,0.030949759900560325,8667.995255412348,15576.672003951997,28893.317518041164,0.0,22591.585068610944,26158.403633970738,0.0,0.0,exploratory_completion_requested_after_initial_test_review
visit,response_propensity,0.4,0.4000001430743604,1118300.0,953132.0,165168.0,0.118904831649761,0.09550276082534147,0.02340207082441953,26170.53580294836,0.021842805485688722,0.024961336163150338,11557.327007216467,14613.208795731894,28893.317518041164,0.0,,,,,exploratory_completion_requested_after_initial_test_review
visit,response_propensity,0.5,0.5000001788429504,1397875.0,1189600.0,208275.0,0.09610541358439811,0.07634137558516385,0.019764037999234263,27627.654618179597,0.018506628585199948,0.021021447413268578,14446.658759020582,13180.995859159015,28893.317518041164,0.0,,,,,exploratory_completion_requested_after_initial_test_review
visit,response_propensity,0.75,0.7500000894214752,2096812.0,1782659.0,314153.0,0.06465622421338013,0.05095606281015938,0.01370016140322075,28726.66283221011,0.012850656023564277,0.014549666782877224,21669.988138530873,7056.674693679237,28893.317518041164,0.0,,,,,exploratory_completion_requested_after_initial_test_review
visit,response_propensity,1.0,1.0,2795749.0,2376531.0,419218.0,0.048632229076750945,0.03829749676779146,0.010334732308959482,28893.317518041164,0.009692640491515359,0.010976824126403606,28893.317518041164,0.0,28893.317518041164,0.0,,,,,exploratory_completion_requested_after_initial_test_review
