outcome_name,model_name,target_fraction,selected_population_fraction,selected_rows,treatment_rows,control_rows,treatment_rate,control_rate,cumulative_uplift,cumulative_gain,uplift_ci_lower,uplift_ci_upper,random_gain,gain_above_random,endpoint_gain,gain_above_response,incremental_gain_ci_lower,incremental_gain_ci_upper,gain_above_response_ci_lower,gain_above_response_ci_upper,analysis_status
conversion,t_learner,0.5,0.5000001788429504,1397875.0,1190345.0,207530.0,0.005631980644266998,0.003498289403941599,0.0021336912403253994,2982.633642569868,0.001846287017165164,0.0024210954634856347,1648.221937761461,1334.4117048084067,3296.443875522922,-234.2254946228877,,,,,exploratory_completion_requested_after_initial_test_review
conversion,t_learner,0.75,0.7500000894214752,2096812.0,1783778.0,313034.0,0.0037908304732988075,0.00234159867618214,0.0014492317971166674,3038.766622975794,0.0012573961661687322,0.0016410674280646026,2472.3329066421916,566.4337163336022,3296.443875522922,-243.80631139144543,,,,,exploratory_completion_requested_after_initial_test_review
conversion,t_learner,1.0,1.0,2795749.0,2376531.0,419218.0,0.003104104259527858,0.0019250127618565998,0.001179091497671258,3296.443875522922,0.0010287331471794628,0.0013294498481630534,3296.443875522922,0.0,3296.443875522922,0.0,,,,,exploratory_completion_requested_after_initial_test_review
conversion,x_learner,0.05,0.050000196727245545,139788.0,121554.0,18234.0,0.04779768662487454,0.034550839091806514,0.013246847533068026,1851.7503229525132,0.010337231180285119,0.016156463885850934,164.82219377614612,1686.928129176367,3296.443875522922,-119.76618871928463,,,,,exploratory_completion_requested_after_initial_test_review
conversion,x_learner,0.1,0.1000000357685901,279575.0,241496.0,38079.0,0.02647248815715374,0.018304052102208566,0.008168436054945175,2283.690510061297,0.006677568586392736,0.009659303523497613,329.64438755229224,1954.0461225090048,3296.443875522922,-155.33796605922407,1877.8615519596196,2730.269139376528,-238.6553111688002,-49.606867952148484,exploratory_completion_requested_after_initial_test_review
conversion,x_learner,0.2,0.2000000715371802,559150.0,479326.0,79824.0,0.014159465582922687,0.009420725596311887,0.0047387399866108005,2649.666463513429,0.003989764478350142,0.005487715494871459,659.2887751045845,1990.3776884088443,3296.443875522922,-171.97738596243653,2206.130163978343,3132.3041533312476,-249.52411395266782,-71.7283152943896,exploratory_completion_requested_after_initial_test_review
conversion,x_learner,0.3,0.3000001073057703,838725.0,716436.0,122289.0,0.00971056730817547,0.006304737139072198,0.0034058301691032716,2856.5549085811417,0.0029074695919977063,0.003904190746208837,988.9331626568766,1867.6217459242653,3296.443875522922,-166.86632229906718,2402.9149976031854,3331.8974446014886,-227.67467468830034,-100.64479854832959,exploratory_completion_requested_after_initial_test_review
conversion,x_learner,0.4,0.4000001430743604,1118300.0,953223.0,165077.0,0.007408549730755553,0.004719009916584382,0.002689539814171171,3007.7123741876203,0.0023168046245964228,0.003062275003745919,1318.577550209169,1689.1348239784513,3296.443875522922,-138.8883458453588,,,,,exploratory_completion_requested_after_initial_test_review
conversion,x_learner,0.5,0.5000001788429504,1397875.0,1190303.0,207572.0,0.005982510335603624,0.003772185073131251,0.002210325262472373,3089.758426278568,0.0019124344675835367,0.002508216057361209,1648.221937761461,1441.536488517107,3296.443875522922,-127.1007109141874,,,,,exploratory_completion_requested_after_initial_test_review
conversion,x_learner,0.75,0.7500000894214752,2096812.0,1782929.0,313883.0,0.004029324779618257,0.0025104895773265835,0.0015188352022916735,3184.7118781876084,0.0013206080123982632,0.0017170623921850838,2472.3329066421916,712.3789715454168,3296.443875522922,-97.86105617963085,,,,,exploratory_completion_requested_after_initial_test_review
conversion,x_learner,1.0,1.0,2795749.0,2376531.0,419218.0,0.003104104259527858,0.0019250127618565998,0.001179091497671258,3296.443875522922,0.0010287331471794628,0.0013294498481630534,3296.443875522922,0.0,3296.443875522922,0.0,,,,,exploratory_completion_requested_after_initial_test_review
conversion,response_propensity,0.05,0.050000196727245545,139788.0,121326.0,18462.0,0.04914857491386842,0.0350449572094031,0.014103617704465318,1971.5165116717978,0.01118538778353622,0.017021847625394416,164.82219377614612,1806.6943178956517,3296.443875522922,0.0,,,,,exploratory_completion_requested_after_initial_test_review
conversion,response_propensity,0.1,0.1000000357685901,279575.0,241247.0,38328.0,0.027196193113282238,0.018472135253600502,0.008724057859681736,2439.028476120521,0.007227907980053352,0.010220207739310119,329.64438755229224,2109.384088568229,3296.443875522922,0.0,2001.2017293665353,2877.5435043952934,0.0,0.0,exploratory_completion_requested_after_initial_test_review
conversion,response_propensity,0.2,0.2000000715371802,559150.0,479000.0,80150.0,0.014615866388308977,0.009569557080474111,0.005046309307834866,2821.6438494758654,0.004291480516832005,0.005801138098837727,659.2887751045845,2162.355074371281,3296.443875522922,0.0,2379.5265759790977,3292.774193059324,0.0,0.0,exploratory_completion_requested_after_initial_test_review
conversion,response_propensity,0.3,0.3000001073057703,838725.0,716274.0,122451.0,0.010007343558470641,0.006402561024409764,0.003604782534060877,3023.421230880209,0.003102085112472138,0.004107479955649616,988.9331626568766,2034.4880682233324,3296.443875522922,0.0,2579.0534991034137,3506.98381202604,0.0,0.0,exploratory_completion_requested_after_initial_test_review
conversion,response_propensity,0.4,0.4000001430743604,1118300.0,953134.0,165166.0,0.007590747995559911,0.004777012218010971,0.0028137357775489397,3146.600720032979,0.002438322780103041,0.0031891487749948384,1318.577550209169,1828.0231698238101,3296.443875522922,0.0,,,,,exploratory_completion_requested_after_initial_test_review
conversion,response_propensity,0.5,0.5000001788429504,1397875.0,1189961.0,207914.0,0.0061153264686825875,0.003814076974133536,0.0023012494945490515,3216.8591371927555,0.002001546730731612,0.002600952258366491,1648.221937761461,1568.6371994312944,3296.443875522922,0.0,,,,,exploratory_completion_requested_after_initial_test_review
conversion,response_propensity,0.75,0.7500000894214752,2096812.0,1783285.0,313527.0,0.004117120931314961,0.0025516143745195788,0.0015655065567953823,3282.572934367239,0.001365466550827858,0.0017655465627629066,2472.3329066421916,810.2400277250476,3296.443875522922,0.0,,,,,exploratory_completion_requested_after_initial_test_review
conversion,response_propensity,1.0,1.0,2795749.0,2376531.0,419218.0,0.003104104259527858,0.0019250127618565998,0.001179091497671258,3296.443875522922,0.0010287331471794628,0.0013294498481630534,3296.443875522922,0.0,3296.443875522922,0.0,,,,,exploratory_completion_requested_after_initial_test_review
conversion,constant_ate,0.05,0.050000196727245545,139788.0,118998.0,20790.0,0.003042067933914856,0.001443001443001443,0.001599066490913413,223.53030663180417,0.0009956186273693088,0.002202514354457517,164.82219377614612,58.708112855658044,3296.443875522922,-1747.9862050399936,,,,,exploratory_completion_requested_after_initial_test_review
