outcome_name,model_name,target_fraction,selected_population_fraction,selected_rows,treatment_rows,control_rows,treatment_rate,control_rate,cumulative_uplift,cumulative_gain,uplift_ci_lower,uplift_ci_upper,random_gain,gain_above_random,endpoint_gain
visit,x_learner,0.35,0.35000030403301585,978513.0,835088.0,143425.0,0.12565023087387198,0.09923653477427227,0.026413696099599704,25846.145011507604,0.024710893629728416,0.02811649856947099,10112.661131314406,15733.483880193198,28893.317518041164
visit,x_learner,0.4,0.4000001430743604,1118300.0,953478.0,164822.0,0.11161348242958935,0.0879554913785781,0.023657991051011254,26456.731392345886,0.022151625564723762,0.025164356537298746,11557.327007216467,14899.40438512942,28893.317518041164
visit,x_learner,0.45,0.4500003398016059,1258088.0,1072108.0,185980.0,0.09994888574658523,0.07855683406817937,0.021392051678405855,26913.083511982266,0.020043914593503014,0.022740188763308695,13001.992883118524,13911.090628863742,28893.317518041164
visit,x_learner,0.5,0.5000001788429504,1397875.0,1190194.0,207681.0,0.09047012503843911,0.07073348067468858,0.019736644363750527,27589.36173997777,0.018519520516477844,0.02095376821102321,14446.658759020582,13142.702980957187,28893.317518041164
visit,x_learner,0.55,0.5500000178842951,1537662.0,1308598.0,229064.0,0.08266404197469353,0.06441867774944994,0.018245364225243588,28055.203245316505,0.017134810625410862,0.019355917825076313,15891.324634922641,12163.878610393864,28893.317518041164
visit,x_learner,0.6,0.6000002146115406,1677450.0,1427366.0,250084.0,0.07591325560507957,0.05910014235216967,0.0168131132529099,28203.15682609371,0.01579185855549319,0.01783436795032661,17335.990510824697,10867.166315269013,28893.317518041164
visit,x_learner,0.65,0.6500000536528852,1817237.0,1546299.0,270938.0,0.07016430845522115,0.05458813455476899,0.015576173900452156,28305.599530335974,0.01463076420891209,0.016521583591992222,18780.656386726758,9524.943143609216,28893.317518041164
visit,x_learner,0.7,0.7000002503801307,1957025.0,1664763.0,292262.0,0.0653558494512432,0.05075925026175144,0.014596599189491764,28565.90952881512,0.013716677778535939,0.01547652060044759,20225.32226262881,8340.587266186307,28893.317518041164
visit,x_learner,0.75,0.7500000894214752,2096812.0,1783276.0,313536.0,0.06120028531758404,0.0474267707695448,0.01377351454803924,28880.470586503256,0.012950542242373181,0.014596486853705298,21669.988138530873,7210.482447972383,28893.317518041164
visit,x_learner,0.8,0.8000002861487208,2236600.0,1901849.0,334751.0,0.05750561690228825,0.04453160707510956,0.012974009827178688,29017.670379467854,0.012200871827210243,0.013747147827147133,23114.654014432934,5903.01636503492,28893.317518041164
