outcome_name,model_name,score_group,population_start_pct,population_end_pct,group_rows,treatment_rows,control_rows,treatment_rate,control_rate,observed_uplift,mean_predicted_score,incremental_outcomes,uplift_ci_lower,uplift_ci_upper
conversion,x_learner,10,90.0,100.0,279574,237616,41958,0.0007406908625681773,0.0003575003575003575,0.00038319050506781976,-0.00015432650756892356,107.13010226383064,0.00017180264527282165,0.0005945783648628178
conversion,response_propensity,1,0.0,10.0,279575,241247,38328,0.027196193113282238,0.018472135253600502,0.008724057859681736,0.026203039351434847,2439.028476120521,0.007227907980053352,0.010220207739310119
conversion,response_propensity,2,10.0,20.0,279575,237753,41822,0.0018506601388836312,0.0014107407584524891,0.0004399193804311421,0.001752000197788282,122.99046078403654,4.086573699777326e-05,0.0008389730238645109
conversion,response_propensity,3,20.0,30.0,279575,237274,42301,0.0007038276423038344,0.0004018817522044396,0.0003019458900993948,0.0006215896092068851,84.41652222453831,8.315800075915693e-05,0.0005207337794396327
conversion,response_propensity,4,30.0,40.0,279575,236860,42715,0.0002828675166765178,0.00011705489874751258,0.0001658126179290052,0.0002882528647769988,46.35706265750163,4.288129934807249e-05,0.0002887439365099379
conversion,response_propensity,5,40.0,50.0,279575,236827,42748,0.00017734464398062722,9.357162908206232e-05,8.37730148985649e-05,0.0001672090957081616,23.42084064026628,-2.245289384241288e-05,0.00018999892363954268
conversion,response_propensity,6,50.0,60.0,279575,236847,42728,0.00016044112866111878,9.361542782250516e-05,6.682570083861362e-05,0.0001068734213491887,18.682795311955402,-3.8138603328906725e-05,0.00017179000500613397
conversion,response_propensity,7,60.0,70.0,279575,237663,41912,7.573749384632863e-05,4.77190303493033e-05,2.801846349702533e-05,6.68304128080825e-05,7.833261932180856,-4.679853651800311e-05,0.00010283546351205376
conversion,response_propensity,8,70.0,80.0,279575,237429,42146,6.738856668730442e-05,7.118113225454372e-05,-3.792565567239302e-06,5.971732091492145e-05,-1.060306518460928,-9.084243474452292e-05,8.325730361004431e-05
conversion,response_propensity,9,80.0,90.0,279575,237245,42330,5.4795675356698774e-05,2.3623907394283014e-05,3.1171767962415763e-05,5.5906500914056426e-05,8.714847028092388,-2.388298117868258e-05,8.62265171035141e-05
conversion,response_propensity,10,90.0,100.0,279574,237386,42188,6.318822508488285e-05,9.481369109699441e-05,-3.162546601211156e-05,5.1040886143130173e-05,-8.841658034870077,-0.00012988521742437307,6.663428540014995e-05
conversion,constant_ate,1,0.0,10.0,279575,237900,41675,0.002959226565783943,0.0017036592681463707,0.0012555672976375721,0.0011450700694695115,351.02522723702424,0.0008034475596567347,0.0017076870356184095
conversion,constant_ate,2,10.0,20.0,279575,237683,41892,0.0030881468173996457,0.0019574143034469587,0.001130732513952687,0.0011450700694695115,316.12454258832247,0.0006522989973221549,0.001609166030583219
conversion,constant_ate,3,20.0,30.0,279575,237754,41821,0.003112460778788159,0.00205638315678726,0.001056077622000899,0.0011450700694695115,295.25290117090134,0.0005675772762782271,0.001544577967723571
conversion,constant_ate,4,30.0,40.0,279575,237754,41821,0.0030872246103114983,0.001936825996508931,0.0011503986138025673,0.0011450700694695115,321.6226924538528,0.0006736499127933405,0.001627147314811794
conversion,constant_ate,5,40.0,50.0,279575,237644,41931,0.003151773240645672,0.0017648040828980944,0.0013869691577475774,0.0011450700694695115,387.761902277279,0.0009263367788067212,0.0018476015366884336
conversion,constant_ate,6,50.0,60.0,279575,237354,42221,0.0031556240889136057,0.0018000521067715119,0.0013555719821420939,0.0011450700694695115,378.98403690737587,0.0008925458458142722,0.0018185981184699156
conversion,constant_ate,7,60.0,70.0,279575,237628,41947,0.0030846533236823944,0.002002526998355067,0.0010821263253273272,0.0011450700694695115,302.5354674033875,0.0005997010540910504,0.001564551596563604
conversion,constant_ate,8,70.0,80.0,279575,237948,41627,0.0031603543631381647,0.001993898191077906,0.0011664561720602586,0.0011450700694695115,326.1119843037468,0.0006822086934840168,0.0016507036506365003
conversion,constant_ate,9,80.0,90.0,279575,237607,41968,0.0031185949908883156,0.0019538696149447197,0.0011647253759435958,0.0011450700694695115,325.6280969794308,0.0006864407765332596,0.0016430099753539321
